video_id,title,view_count,like_count,dislike_count,comment_count,duration_seconds,upload_date,uploader,description_length,tags_count,category,engagement_rate,comment_rate,like_ratio,subscriber_count,average_rating,age_limit,is_live,language,interaction_weight
z9kvKAg_uTQ,موجز الاخبار - الواحدة ظهرا 9-06-2015,5347,34,3,0,226,20150609,Orient News,202,51,News & Politics,0.692,0.0,91.89,0,4.67567586899,0,,,0.004641370412821282
pjKHUc8CZ0g,صحافة النهار |  تعرف على الجديد فى صفقات النادى الاهلى والزمالك,13170,31,5,0,470,20150614,AlNahar Ryada,577,7,Sports,0.2733,0.0,86.11,0,4.44444465637,0,,,0.0037352360273225182
KzZ9hNuWfAY,商台突然炒李慧玲 不作解釋,1925,3,1,0,384,20140212,tesla2047,13,3,People & Blogs,0.2078,0.0,75.0,0,4.0,0,,,0.0037115532120620388
3xDBNxpxXLQ,"صوت القاهرة - احمد المسلمانى "" شائعات حول اعتناق ابنة جورج بوش الاسلام """,63468,80,15,0,256,20141220,AlHayah TV Network,120,24,News & Politics,0.1497,0.0,84.21,0,4.36842107773,0,,,0.004810612716414678
Ctexu_Rf_2M,"Bachmann Taps Out, Suspends Presidential Campaign",1319,47,11,0,153,20120104,SaveOurSovereignty3,162,19,News & Politics,4.3973,0.0,81.03,0,4.24137926102,0,,,0.005154623176824269
9Q10HCcHtpY,4. CMYK Gazete Günleri İrfan Değirmenci ile Günaydın'da,2257,1,0,0,127,20120416,anadoluiletisim,327,6,Education,0.0443,0.0,100.0,0,5.0,0,,,0.004819001892890754
ui_r92Li-Gc,#1 Twarzą w Twarz - Szczęście z uśmiechem po tym samym torze...,1847,36,4,0,395,20150219,Twarzą w Twarz,750,0,People & Blogs,2.1657,0.0,90.0,0,4.59999990463,0,,,0.003910804874817449
rgkJiQbfE8Q,"Dupe or dud: IT Cosmetics Vitality Face Disk vs. Crown Brush Blush, Bronze, Highlight | Bailey B.",20034,879,7,0,338,20150802,Bailey B,1825,15,Howto & Style,4.4225,0.0,99.21,0,4.9683971405,0,,,0.004810765691257116
yE1vy3JnftM,Ο Ευάγγελος Μπεξής μιλάει για τα ευρήματα της Αμφίπολης στο κανάλι ''Ε'',3936,15,3,0,329,20141015,ΜΥΣΤΙΚΑ ΠΕΡΑΣΜΑΤΑ,232,15,Education,0.4573,0.0,83.33,0,4.33333349228,0,,,0.004143396455219726
HKm5Ax0EfWg,Nine Entertain Awards 2015 - ข่าวค่ำ สำนักข่าวไทย 14พ.ค.58,2018,9,0,0,176,20150514,MemoryMUAY,220,1,Entertainment,0.446,0.0,100.0,0,5.0,0,,,0.004628120148552153
8t2tmcwQAmk,Asianet News@1pm  Jan 31 Part 2,1612,0,0,0,478,20120131,asianetnews,177,36,News & Politics,0.0,0.0,0.0,0,0.0,0,,,0.003348163857094079
kuQdKwof1Bk,Marido falsifica a assinatura da esposa num contrato de empréstimo com um banco,4003,7,1,0,272,20120723,Superior Tribunal de Justiça (STJ),105,21,News & Politics,0.1999,0.0,87.5,0,4.5,0,,,0.004343127970154023
Cwsba0yb_dc,Cómo Aclarar la Piel con Limón - Formula Natural,27539,270,23,0,246,20150124,Aclarar La Piel,238,3,Howto & Style,1.0639,0.0,92.15,0,4.68600702286,0,,,0.0048674833563323505
vBrDiz59eas,#النشرة_الرياضية : الأمير فيصل بن تركي رئيس نادي النصر,1291798,10821,2401,0,398,20140107,النشرة الـ,258,32,Entertainment,1.0235,0.0,81.84,0,4.27363491058,0,,,0.004806926189800248
wERnQNuwQbM,Huntsman daughters make spoof video of Cain ad,27554,24,65,0,335,20111101,CBS,220,16,News & Politics,0.323,0.0,26.97,0,2.07865166664,0,,,0.004360068066282262
FEL7rdDJzxM,Ana Cristina Ramirez  1/10/2010 - 21:17 - En formato 16:9 por primera vez,5522,6,0,0,201,20101001,canalsuradicto,69,3,People & Blogs,0.1087,0.0,100.0,0,5.0,0,,,0.004608988840819267
Mz0qtfXeCZs,7-12-56 ข่าวค่ำDNN เพื่อไทยเชื่อ 9 ธ.ค. ประเทศไทยเข้าสู่ภาวะปกติ,1465,0,0,0,267,20131207,DNNTHAILAND,0,0,News & Politics,0.0,0.0,0.0,0,0.0,0,,,0.004186577414322571
YO4G6bBEfsw,TNI AD Pamerkan Alutsista di Monas,1976,6,0,0,132,20141211,BeritaSatuTV,272,32,News & Politics,0.3036,0.0,100.0,0,5.0,0,,,0.004775921280661692
mWorbwq7tGI,"مركز للإبداع البيئي في ""مصدر""",1108,2,1,0,143,20140115,سكاي نيوز عربية,296,9,News & Politics,0.2708,0.0,66.67,0,3.66666674614,0,,,0.004602066136834736
hwNn7VlnczQ,Afterburner with Bill Whittle: Into the Sea,58771,991,23,0,374,20120524,PJ Media,275,16,News & Politics,1.7253,0.0,97.73,0,4.90927028656,0,,,0.0045081169385587675
EdIjwvd-XYw,Rusia propone ante la ONU un alto el fuego en Ucrania y crear corredores humanitarios,4286,64,1,0,218,20140602,RT en Español,1469,36,News & Politics,1.5166,0.0,98.46,0,4.93846130371,0,,,0.0046911528871230535
kTQEQ-sRVcg,Октябрьская революция - бунт против церкви,18266,104,7,0,122,20110128,NevzorovHauteEcole,229,7,News & Politics,0.6077,0.0,93.69,0,4.7477478981,0,,,0.005236391398539141
ibKjl4ZyA9w,Бездомните кучета в София,5404,7,0,0,199,20120206,trancer4o,47,5,Pets & Animals,0.1295,0.0,100.0,0,5.0,0,,,0.004668431759351756
pOBbo208f5U,CLEAR CYSTIC ACNE OVERNIGHT,113451,1138,67,0,330,20150221,Samantha Ann,2104,32,Howto & Style,1.0621,0.0,94.44,0,4.77759313583,0,,,0.004739932734334622
BSaH497AOPY,شرب الماء يوميا يجنب شيخوخة البشرة,5855,31,2,0,409,20140306,سكاي نيوز عربية,353,1,News & Politics,0.5636,0.0,93.94,0,4.75757598877,0,,,0.0038336035621388768
tD8GJldUl-4,Xuất khẩu cà phê: Thị trường đang diễn biến thuận lợi,2229,0,0,0,352,20140428,FBNC Vietnam,411,0,News & Politics,0.0,0.0,0.0,0,0.0,0,,,0.0039108492736272035
hncv-bDkrPw,Natasha Curry - black top & gold necklace - 03-08-13 (1080p),2038,14,0,0,181,20141017,SuperHaji1000,53,7,Entertainment,0.6869,0.0,100.0,0,5.0,0,,,0.004609560485208803
ta1sycJ415M,Sharon Tay 2011/08/11 8pm KCAL9 HD; Satin burgundy dress,1378,8,0,0,147,20110812,TVCapsHD,102,25,People & Blogs,0.5806,0.0,100.0,0,5.0,0,,,0.004703607807943436
RpcntqWGzAg,Cómo conservar una piel joven y sana... SIN CIRUGIA,6322,72,16,0,346,20120807,AnaBermudezMUA,167,6,Howto & Style,1.392,0.0,81.82,0,4.27272748947,0,,,0.004201654347843808
ywyWULfwE74,Danuta Dobrzyńska w czerwonej mini,22915,10,1,0,218,20150502,Biały Misio,43,6,People & Blogs,0.048,0.0,90.91,0,4.63636350632,0,,,0.0047617541100866525
2JLZ-ycl710,Yasmany Responde - Yasmany,9294,376,11,0,349,20140606,Yasmany,1035,28,Howto & Style,4.164,0.0,97.16,0,4.88630485535,0,,,0.004580966087259907
Wi63l8M75HE,Le pôle France de gymnastique acrobatique d'Antibes,9429,80,1,0,187,20140621,France 3 Côte d'Azur,567,9,Entertainment,0.8591,0.0,98.77,0,4.95061731339,0,,,0.004880144312802279
cWmtd4zbOb8,Contaminated fish from Communist China,5232,7,3,0,214,20080425,nauglefest,593,9,News & Politics,0.1911,0.0,70.0,0,3.79999995232,0,,,0.00460195028247028
EQhLO7NZmZk,Guinot Eclat Lifting Mask | First Impression,3048,25,0,0,476,20140519,Love Storie,601,20,Howto & Style,0.8202,0.0,100.0,0,5.0,0,,,0.0034931767547957955
53IbEBdm54k,Transforma tu rostro: correcciones básicas (muy fácil) y ¡ganadora del sorteo!,5901,173,0,0,481,20140109,LowChicBlog,649,17,Howto & Style,2.9317,0.0,100.0,0,5.0,0,,,0.0038525775064800353
OiS5rleK-F0,Nasa's Biggest find yet? Earth's Twin Discovered?,436174,1747,86,0,221,20111206,TheRaymondTune,1153,16,Science & Technology,0.4202,0.0,95.31,0,4.8123292923,0,,,0.005329209614755099
hE0zjQEi5MQ,Lift en 8 puntos,3223,12,0,0,259,20141203,Dr. Oriol Vernetta,180,7,Howto & Style,0.3723,0.0,100.0,0,5.0,0,,,0.004323064100213453
wfuGKA9RvKU,WARKA SOMALI CHANNEL   Wax garad kaoo jeeda BALCAD oo madaxweynaha baaq udiray 09 10 2012,1797,2,0,0,290,20121009,Somali Channel,14,2,News & Politics,0.1113,0.0,100.0,0,5.0,0,,,0.004082767644230493
jbpHf7-fUao,"BT: Lalaking nakunan ng CCTV na nanakit sa kahera sa Maynila, kinasuhan na",11874,16,3,0,164,20121026,GMA News,315,18,News & Politics,0.16,0.0,84.21,0,4.36842107773,0,,,0.004913923060403346
fDitQjJwYkE,Pakistani Journalist Interviewed on FOX-TV,3643,3,1,0,446,20120831,International Center for Journalists (ICFJ),340,6,Education,0.1098,0.0,75.0,0,4.0,0,,,0.00362020043430637
yJE0HDRzqSY,Вести-Хабаровск. Опасная профессия,1316,2,0,0,163,20130324,VestiKhabarovsk,390,11,News & Politics,0.152,0.0,100.0,0,5.0,0,,,0.004550391399861991
Yaxc9nAvOD4,Must Have Drugstore Products,1011890,12494,221,0,479,20120809,Nicole Guerriero,1760,12,Howto & Style,1.2566,0.0,98.26,0,4.93047571182,0,,,0.004541372921374436
jqK7MmsATeM,Why some analysts think PNoy liable for Mamasapano?,4708,8,5,0,165,20150302,ABS-CBN News,633,36,News & Politics,0.2761,0.0,61.54,0,3.46153855324,0,,,0.004769873212606864
HLdt8lcSqsM,Ārzemju augstskolas vilina Latvijas skolu beidzējus,2952,5,1,0,244,20100315,ltvpanorama,352,1,News & Politics,0.2033,0.0,83.33,0,4.33333349228,0,,,0.004371701746148477
lSSkOzo_Hwc,JOURNAL 20 H FRANCE 2 ORIENTATION DES TERMINALES 19 01 2010,2447,1,1,0,196,20110119,lyceeduruy,109,5,Education,0.0817,0.0,50.0,0,3.0,0,,,0.004498356946057023
WBygvBTjRMA,В Минске проходит заседание Совета глав государств СНГ,2818,10,2,0,260,20131025,Телеканал ОНТ,360,18,News & Politics,0.4258,0.0,83.33,0,4.33333349228,0,,,0.004350403676901493
QSxS6WlAHEQ,Секреты молодости,156964,150,72,0,411,20140414,Воды Здоровья,168,35,Nonprofits & Activism,0.1414,0.0,67.57,0,3.7027027607,0,,,0.004320384130065301
xBDWct-2mnY,Вести-Хабаровск. Жертвы обеда,2179,8,6,0,149,20120723,VestiKhabarovsk,343,24,News & Politics,0.6425,0.0,57.14,0,3.28571438789,0,,,0.004776526715418046
E9WhvBtLXvs,BJP Divided Over Article 370?,1490,0,0,0,142,20141117,TIMES NOW,801,29,News & Politics,0.0,0.0,0.0,0,0.0,0,,,0.004633735541217629
yq2rKzQrYVg,E.L.F. Mineral Glow Bronzer Vs. Bare Minerals Bronzer,6670,33,4,0,452,20130621,Bondbeautyful,1114,19,Howto & Style,0.5547,0.0,89.19,0,4.56756734848,0,,,0.0037102726724095305
EMLALfhSftA,Joe Fisher on USS John Warner commissioned,1323,2,0,0,154,20150801,WAVY TV 10,12,9,News & Politics,0.1512,0.0,100.0,0,5.0,0,,,0.004635560158199785
Wxo9Yc2M3iw,Leaders mourn Senator Kajwang’ [News Bulletin],2163,0,0,0,381,20141119,Capital FM Kenya,132,0,Entertainment,0.0,0.0,0.0,0,0.0,0,,,0.0037758700707273465
evElKi784UA,顎関節取り扱い説明書。フェイスラインと小顔の決め手です。顎関節の仕組みを生かしてパワーアップしましょう。,1861,6,0,0,162,20140327,山口さゆり,86,6,People & Blogs,0.3224,0.0,100.0,0,5.0,0,,,0.004622454997208731
u1ggiYDc_JA,Сайлау - 2015,1529,2,1,0,179,20150326,Информбюро 31,372,0,People & Blogs,0.1962,0.0,66.67,0,3.66666674614,0,,,0.004543889268772161
uPXMOO1EiN0,Weer + afsluiting laatste NOS 8 uur JOURNAAL met Philip Freriks,21443,36,2,0,302,20091218,dennisguillaume1993,200,6,People & Blogs,0.1772,0.0,94.74,0,4.78947353363,0,,,0.004473488408680097
LVmUIqNKPew,Как я избавилась от акне / уход за лицом!,123682,1849,40,0,399,20120419,Соня Есьман,451,31,Howto & Style,1.5273,0.0,97.88,0,4.91529893875,0,,,0.0044848550816081025
oDT6cGIkn_Q,قصة نجاح د. مجد ناجي في تغطية خاصة على قناة الحرة,13255,69,2,0,427,20140313,majd naji,49,1,People & Blogs,0.5356,0.0,97.18,0,4.88732385635,0,,,0.003924766094700096
yvf0HOswcPk,قناة عدن لايف تقرير عن اخبار العراق تاريخ 3-7-2014,1151,5,5,0,184,20140702,Adenlive TV,36,0,News & Politics,0.8688,0.0,50.0,0,3.0,0,,,0.004531395461772238
r7B491zbxnw,Laser pointing at Sky 4 leads to investigation,38581,73,55,0,126,20131121,WYFF News 4,144,18,News & Politics,0.3318,0.0,57.03,0,3.28125,0,,,0.005279656915201363
irbGBNQaZ1E,Mid Day News 30/11/2013 - المقدمة و التوتر في طرابلس,2433,0,0,0,297,20131130,MTVLebanonNews,271,21,News & Politics,0.0,0.0,0.0,0,0.0,0,,,0.004134876974252241
PhsRrmq1YRI,Gost Dnevnika - Vinko Dumančić,1338,0,0,0,277,20130213,TV1 HD,0,4,Autos & Vehicles,0.0,0.0,0.0,0,0.0,0,,,0.004069546306388094
xX6eSLM7ef4,مقر الديستي المركزي يظهر للعلن,46220,103,10,0,239,20150320,replaytvmaroc,38,0,News & Politics,0.2445,0.0,91.15,0,4.64601755142,0,,,0.0048171081499647165
ijy-DGWS-fQ,اعترافات  خلية ارحب وعلاقتها بجريمة السبعين وارتباطها بسام الاحمر,4524,20,16,0,358,20141218,وكـالةخبر قناة1,67,0,News & Politics,0.7958,0.0,55.56,0,3.22222232819,0,,,0.004044678929990516
f82KNnLwZPc,CeraVe Skin Renewing Cream Serum Review,65488,2553,9,0,298,20150721,Beauty Broadcast Express,1932,23,Howto & Style,3.9122,0.0,99.65,0,4.98594856262,0,,,0.005144341790636676
R03Sko97IDE,La UE no quiere que América Latina le sustituya en el mercado ruso,117816,829,39,0,389,20140812,RT en Español,686,30,News & Politics,0.7367,0.0,95.51,0,4.82027626038,0,,,0.0044747571567230835
qZt442xDsAw,Too Faced Love Flush Blush | Review + Swatches + Demo,22955,759,16,0,349,20150824,Hollie Forrest,3035,10,Howto & Style,3.3762,0.0,97.94,0,4.91741943359,0,,,0.004632039167948034
om80E5pOkQM,Face Reading for Facebook: Donna Fox,1756,2,1,0,249,20080608,facebookfacereader,195,10,Howto & Style,0.1708,0.0,66.67,0,3.66666674614,0,,,0.004265554594226986
DfN6Xn9bgTc,Assédio no Metrô - 21/07/2011,3107,0,3,0,208,20110721,Jornal da Gazeta,466,12,News & Politics,0.0966,0.0,0.0,0,1.0,0,,,0.004501170523207315
RmWHKqjG_vQ,Review: It Cosmetics BYE BYE PORES HD POWDER,4384,18,2,0,361,20110410,Girlnature707 Beauty,605,24,Howto & Style,0.4562,0.0,90.0,0,4.59999990463,0,,,0.004016314533791331
xhNkjaNQmYk,"Российские правительственные телеканалы рассказали ""правду""",43662,316,147,0,400,20131202,Александр Гусев,59,0,Education,1.0604,0.0,68.25,0,3.73002171516,0,,,0.004287101019138676
ezu083rBXs0,JSS 2:1 MOB (résumé du match),1643,2,1,0,327,20140201,MOBéjaïa.net,16,19,Sports,0.1826,0.0,66.67,0,3.66666674614,0,,,0.003988533361850437
Fshh4w2zEbg,Be Prepared  - Alessio Rastani  Warns the world on BBC,4015,13,1,0,216,20110927,TraderOnTheBBC,82,22,News & Politics,0.3487,0.0,92.86,0,4.71428585052,0,,,0.004537473479312248
JKq8DBJkN4g,Юные хоккеисты Югры вернулась с турнира КХЛ,1515,1,0,0,164,20120425,Телерадиокомпания Север,233,4,News & Politics,0.066,0.0,100.0,0,5.0,0,,,0.0045853381019641745
z4lRJPx6pX0,"Rahul Gandhi, currently on leave, to be made Congress president in April: Sources",1961,0,8,0,167,20150225,NDTV,224,7,News & Politics,0.408,0.0,0.0,0,1.0,0,,,0.0046648815086095365
5RxBSY68bwQ,موجز الأخبار - الواحدة ظهرا 3/05/2015,1621,11,2,0,278,20150503,Al Jazeera Arabic قناة الجزيرة,806,43,News & Politics,0.802,0.0,84.62,0,4.3846154213,0,,,0.004246410851840009
fcPakT4ECyk,"Obama: ""Mientras yo sea presidente de EE.UU., Irán no conseguirá un arma nuclear""",1805,15,2,0,336,20121022,RT en Español,467,47,News & Politics,0.9418,0.0,88.24,0,4.52941179276,0,,,0.004014153754348481
FTwDVMUysfk,7 News Brisbane Saturday,4115,5,0,0,425,20141213,Australian TV Fan,216,5,News & Politics,0.1215,0.0,100.0,0,5.0,0,,,0.0037129591108571993
8WGsQ0Y7uyU,Яценюк ищет поддержки в США Крым Путин,6604,14,17,0,173,20140312,Новости Украины 24,418,29,News & Politics,0.4694,0.0,45.16,0,2.80645155907,0,,,0.00481117189161493
8JRWqPRrWO0,final cut_05022013,1312,0,0,0,342,20130205,Newsfirst Sri  Lanka,0,0,News & Politics,0.0,0.0,0.0,0,0.0,0,,,0.00382781782355918
7p6Ywa7EB04,"Nagbitiw na PNP chief Gen. Purisima, itinagging siya ang nagmando ng operasyon ng PNP-SAF",3349,0,0,0,427,20150206,GMA News,120,16,News & Politics,0.0,0.0,0.0,0,0.0,0,,,0.0036740042564966185
Pgbfbsf40Ws,25 11 55 ข่าวค่ำDNN รมว กลาโหม ชี้แจงการซักฟอกของฝ่ายค้าน,2919,2,0,0,176,20121125,DNNTHAILAND,0,7,News & Politics,0.0685,0.0,100.0,0,5.0,0,,,0.004671758258027542
kOil2HSDq0E,Face of the future rears its head,163572,432,23,0,269,20130319,Cambridge University,409,16,Education,0.2782,0.0,94.95,0,4.79780197144,0,,,0.004951432236231776
viq-Tn_w1MM,Crónica de la semana: Crimea forma parte de Rusia,33812,328,8,0,289,20140323,RT en Español,1784,38,News & Politics,0.9937,0.0,97.62,0,4.90476179123,0,,,0.0046766351806061274
rI7GbgEhwoY,Makeup For Men,8659,123,11,0,396,20130605,"Make Me Up, Chris!",419,18,Howto & Style,1.5475,0.0,91.79,0,4.67164182663,0,,,0.004131072420024049
TfxLjCUySRM,"Резиденты COMEDY БАТТЛ в Сочи    проходил один, поехали двое",3975,0,4,0,251,20110908,Макс Портал,0,2,News & Politics,0.1006,0.0,0.0,0,1.0,0,,,0.004350055155695037
Jns1_Pc7EEA,"SONA: Napoles, naghain ng mosyon para suspendihin ang plunder case laban sa kanya",1195,0,1,0,423,20140616,GMA News,394,17,News & Politics,0.0837,0.0,0.0,0,1.0,0,,,0.00347117654315118
rKi2MncpSAA,Morning Anti-Aging Skincare Routine & Demo,63756,1085,23,0,444,20130419,HotandFlashy,449,32,Howto & Style,1.7379,0.0,97.92,0,4.91696739197,0,,,0.004269082709181544
1vpfHf42UuI,Mystery missile over California,72689,168,17,0,269,20101109,RT America,131,18,News & Politics,0.2545,0.0,90.81,0,4.63243246078,0,,,0.004784081842886407
H5DQF1MCPZI,Qatar University's  Wendy Krausse  speaks about Egypt protests,1397,6,2,0,138,20110909,Al Jazeera English,1404,8,News & Politics,0.5727,0.0,75.0,0,4.0,0,,,0.004766836242167584
zDcakLZcr68,Participaciones Preferentes: abuso bancario,9058,9,0,0,245,20111221,miguel9pg,1002,2,People & Blogs,0.0994,0.0,100.0,0,5.0,0,,,0.004539084751410293
bELTBXNlDp8,Reciente informe global revela grandes amenazas para la economía en el mundo,1772,2,0,0,149,20130108,NTN24,384,7,News & Politics,0.1129,0.0,100.0,0,5.0,0,,,0.004663591177656992
jjOsejIqlR0,Strobing vs. Contouring| How To,8030,346,6,0,457,20150817,Marie Jay,1195,29,Howto & Style,4.3836,0.0,98.3,0,4.93181800842,0,,,0.0042042137654162036
5OmyhUC2O5M,الحياة الآن - منسق إئتلاف الطرق الصوفية : ندعم السيسى وهنقاتل معاه وهنجاهد ضد الإرهاب,3492,2,5,0,370,20140218,AlHayah Network,121,27,News & Politics,0.2005,0.0,28.57,0,2.14285707474,0,,,0.003923300176926511
RRAysUaj2DA,9-5-57 ข่าวเที่ยงDNN คอลัมน์อัพเดท ไม่มีสุญญากาศ,1156,1,0,0,240,20140508,Thanachart NAM,0,0,People & Blogs,0.0865,0.0,100.0,0,5.0,0,,,0.004230446921530241
3RnfV-yicmw,الهدر المدرسي,1831,1,0,0,153,20130612,replaytvmaroc,0,0,People & Blogs,0.0546,0.0,100.0,0,5.0,0,,,0.004628492123236565
48oHOsvSshw,"Sky TG24 Pianeta Internet, 24/12/2005 con Marco Montemagno",2000,4,0,0,424,20051224,Marco Montemagno,58,4,Howto & Style,0.2,0.0,100.0,0,5.0,0,,,0.003617589308991253
pQ72v_9C0U4,CNET Update - What to expect in the next BlackBerry,14766,339,9,0,171,20130116,CNET,186,23,News,2.3568,0.0,97.41,0,4.89655160904,0,,,0.0051769254830066214
r0WUkAPxFhw,Как убрать морщины вокруг глаз? Estee Lauder Advanced Night Repair.,26677,116,22,0,412,20140303,Ekaterina Laputina,452,19,People & Blogs,0.5173,0.0,84.06,0,4.36231899261,0,,,0.004071683788400904
6DNgGcy4588,Christian 'Lifestyle Statement' Leads To Mass Resignations At University,37880,1385,40,0,120,20120521,The Young Turks,1003,23,News & Politics,3.7619,0.0,97.19,0,4.88771915436,0,,,0.00572691776356878
-hZZ-11yg0I,"Saksi: Pagbuo ng mga pamantayan sa pag-apruba ng billboards, isinusulong sa Kamara",1238,2,2,0,166,20140128,GMA News,335,17,News & Politics,0.3231,0.0,50.0,0,3.0,0,,,0.004535957592861248
oMVfEnN6R-I,"24 Oras: UNA senatorial candidates, nangampanya sa Bohol",2141,2,1,0,200,20130213,GMA News,248,14,News & Politics,0.1401,0.0,66.67,0,3.66666674614,0,,,0.00453605949655929
I-LWHG3GThI,Tips for blackhead removal,9316,14,4,0,324,20120820,TheHealthSite.com,523,13,Howto & Style,0.1932,0.0,77.78,0,4.11111116409,0,,,0.0042536333512705575
x99NFdLvAIQ,Нетаньяху просит США не снимать санкций с Ирана,4168,121,17,0,143,20131001,RT на русском,740,11,News & Politics,3.3109,0.0,87.68,0,4.50724649429,0,,,0.005254552796351709
2JhLsUjRrjg,Review y opinión de correctores de Mac - Argentina,6713,112,5,0,491,20140603,Cecilia Katz,968,34,Howto & Style,1.7429,0.0,95.73,0,4.82905960083,0,,,0.003693914382205282
sZDvg03saDA,[make up pour les nuls #2] Comment avoir de beaux sourcils?_débutant _ Perfection Imparfaite,1946,29,0,0,284,20140915,Perfection Imparfaite,2029,8,Howto & Style,1.4902,0.0,100.0,0,5.0,0,,,0.004346184045886918
uvxJpaN72WQ,Смотреть Как Избавиться От Милиумов (Жировиков). Лечение В Домашних Условиях. - Жировики На Лице,26057,11,116,0,404,20150219,Виктор Калашников,1225,13,People & Blogs,0.4874,0.0,8.66,0,1.34645664692,0,,,0.004094040669483276
1aJO2VkfZiY,"""Не против Запада - а для него"". РЛС в Калининграде",4249,28,1,0,279,20111129,TaDe7am,237,10,Travel & Events,0.6825,0.0,96.55,0,4.86206912994,0,,,0.00431963549852592
MSGbQQztyYQ,Hyaluronsäure - Faltenbehandlung in der H-Praxis-Dr. Simone Hellmann Plastische Chirurgie Köln,6534,12,1,0,192,20141110,Dr. Simone Hellmann,326,26,People & Blogs,0.199,0.0,92.31,0,4.69230747223,0,,,0.004678981533693626
ILDc0AwH5A0,"Civil Forfeiture Law Allows Cops to Steal Your Home, Car, and Money To Raise Cop Salaries",11816,155,5,0,364,20140902,nevergetbusted,588,0,Nonprofits & Activism,1.3541,0.0,96.88,0,4.875,0,,,0.004257583514726297
1sdTxz94FFw,A Quick and Easy Papaya Exfoliating Mask,13282,50,2,0,286,20130412,V Roberts,406,9,Howto & Style,0.3915,0.0,96.15,0,4.84615373611,0,,unknown,0.0044428224275937225
1LOX4wtfg50,How to Look Sharp-A Makeup Tutorial,12427,393,7,0,383,20121209,Bri,312,2,People & Blogs,3.2188,0.0,98.25,0,4.92999982834,0,,,0.004417706394262222
z4JTpNL3Wxs,"Half Fancy, Half Frugal: $275 COST DIFFERENCE",271769,16079,87,0,370,20150708,emilynoel83,3099,42,Howto & Style,5.9484,0.0,99.46,0,4.97847318649,0,,,0.005278823137319167
WxJH6RBAXqA,Preventing Early Wrinkles,1577,47,2,0,383,20110620,Mayparis4You,48,10,Howto & Style,3.1072,0.0,95.92,0,4.83673477173,0,,,0.004058843461786674
